"Row ID","ODR Reference","Data Recipient","Organisation Type","Purpose","Data Source","Data Type provided to applicant ","Legal basis for the release of personally identifiable data","Date of release"
"DRR13","ODR_2014_134","Clinical Practice Research DataLink","Government Agency (Health and Adult Social Care)","Mirabegron is indicated for overactive bladder (OAB) with symptoms of urge, urinary incontinence, urgency, and urinary frequency. Astellas obtained marketing authorizations for mirabegron in the United States and European Union with a requirement to evaluate cardiovascular safety and cancer risks. 
Objectives: 
?Characterise users of six OAB medications with respect to selected covariates.
?Describe usage patterns of OAB medications.
?Confirm the algorithms used for identifying cardiovascular and cancer events of interest.
?Estimate the incidence of cardiovascular and cancer events in new users of OAB drugs.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2014-08-20
"DRR14","ODR_2014_095","UK Biobank","Independent Sector Organisation","To enrich the scope and quality of data available to UK Biobank researchers, the NCIN have recommended that a core dataset is held by UK Biobank for each participant diagnosed with cancer. This will allow researchers to identify and subclassify both incident and prevalent cancers in the cohort.","National Cancer Registration and Analysis Service","Personally identifiable","Consent",2014-08-21
"DRR15","ODR_2014_252a","University of Cambridge","Academic Institution","To add to the body of evidence derived from the National Cancer Intelligence Network?s Routes to Diagnosis project, the data shall be used to write a collaborative paper for the CRUK NAEDI supplement on Routes to Diagnosis by age and sex. This is a joint piece of work between the National Cancer Intelligence Network and Cambridge University Department of Public Health and Primary. 

Data will be analysed using regression to investigate the relationship with diagnosis Route between sexes for each site, taking into account sex and deprivation. There will be a particular focus on emergency presentations (EPs) and trying to generate insights into potential aetiological mechanisms responsible for EPs.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2014-09-15
"DRR16","ODR_2014_255","Royal Berkshire NHS Foundation Trust","CQC Registered Health or/and Social Care provider","The three main radical treatment options for early prostate cancer (surgery, external beam radiotherapy and brachytherapy) are considered equivalent in terms of efficacy, yet side effect profiles differ. As brachytherapy is such a well tolerated and effective cure for prostate cancer, the rate of radiation induced second primary cancers is an important survivorship issue. The aim of this audit would be to determine whether the standardised incidence rate of cancers after brachytherapy is higher than we would expect.","National Cancer Registration and Analysis Service","Personally identifiable","Direct Care",2014-09-15
"DRR17","ODR_2014_201","Central Manchester University Hospitals NHS Foundation Trust","CQC Registered Health or/and Social Care provider","The data will supplement that collected as part of an institutional audit of colorectal cancer follow up in patients treated at Manchester Royal Infirmary.","National Cancer Registration and Analysis Service","Personally identifiable","Direct Care",2014-09-23
"DRR18","ODR_2014_235","Weelsby View Health Centre","CQC Registered Health or/and Social Care provider","Internal audit of patient pathways leading to an emergency presentation of cancer.","National Cancer Registration and Analysis Service","Personally identifiable","Direct Care",2014-09-26
"DRR19","ODR_2014_130a","Clinical Practice Research DataLink","Government Agency (Health and Adult Social Care)","The Data Recipient will evaluate the risk and harm from SAEs longitudinally through linkage with HES, Office of National Statistics (ONS) and Cancer Registries. Combining information from these databases may help evaluate hospital safety from a service user?s perspective. This approach may drive further linkage of primary and secondary care databases to facilitate the research of surgical outcomes measurable in primary care on a national scale.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2014-10-03
"DRR20","ODR_2014_228","Queen Mary University of London","Academic Institution","The report contains aggregated interval cancer statistics which are used to assess the performance of breast screening units with respect to the number of interval cancers that occur between routine screening. The production of this report is an important part of quality assuring the breast screening programme as a whole.","National Breast Cancer Screening Programme","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2014-10-08
"DRR21","ODR_2014_197a","Deloitte MSC Limited","Commercial","The Manchester Cancer Improvement Partnership (MCIP), established in 2012, is a programme that sees Macmillan working in partnership with the three Manchester Clinical Commissioning Groups, people affected by cancer, GPs, NHS Hospital Trusts, St Ann?s Hospice and Manchester City Council. The focus of the current phase of the MCIP programme is to improve breast and lung cancer pathways. To ensure that MCIP is able to achieve its aims, there is a need to have a good understanding of the current baseline of service use across the total cancer pathway, as well as the clinical outcomes and cost of those pathways, providing a robust evidence base with which to work with for whole system redesign.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2014-10-13
"DRR22","ODR_2014_197c","University Hospital of South Manchester NHS Foundation Trust","CQC Registered Health or/and Social Care provider","UHSM has agreed to work with Macmillan Cancer Support, Monitor, Deloitte and other primary, secondary and palliative care providers in the City of Manchester health economy to apply the Routes from Diagnosis analytic methodology as part of Macmillan's Manchester Cancer Improvement Programme service redesign.","National Cancer Registration and Analysis Service","Personally identifiable","Direct Care",2014-10-13
"DRR23","ODR_2014_197d","Central Manchester University Hospitals NHS Foundation Trust","CQC Registered Health or/and Social Care provider","CMUHFT has agreed to work with Macmillan Cancer Support, Monitor, Deloitte and other primary, secondary and palliative care providers in the City of Manchester health economy to apply the Routes from Diagnosis analytic methodology as part of Macmillan's Manchester Cancer Improvement Programme service redesign.","National Cancer Registration and Analysis Service","Personally identifiable","Direct Care",2014-10-13
"DRR24","ODR_2014_197e","The Christie NHS Foundation Trust","CQC Registered Health or/and Social Care provider","The Christie has agreed to work with Macmillan Cancer Support, Monitor, Deloitte and other primary, secondary and palliative care providers in the City of Manchester health economy to apply the Routes from Diagnosis analytic methodology as part of Macmillan's Manchester Cancer Improvement Programme service redesign. This work aims to describe the burden of breast and lung cancer at a cohort level in order to raise the standard of cancer care for people affected by cancer at every stage of the journey.","National Cancer Registration and Analysis Service","Personally identifiable","Direct Care",2014-10-13
"DRR25","ODR_2014_197b","Pennine Acute Hospitals NHS Trust","CQC Registered Health or/and Social Care provider","PAT has agreed to work with Macmillan Cancer Support, Monitor, Deloitte and other primary, secondary and palliative care providers in the City of Manchester health economy to apply the Routes from Diagnosis analytic methodology as part of Macmillan's Manchester Cancer Improvement Programme service redesign.","National Cancer Registration and Analysis Service","Personally identifiable","Direct Care",2014-10-14
"DRR26","ODR_2014_277","UK Biobank","Independent Sector Organisation","Since recruitment began in 2006, the study has created a major resource of person-level data for 500,000 adults, including annotated blood and urine samples, alongside self-reported lifestyle and behavioural information. With the consent of each participant, these baseline data are being linked to their health-related records, (in such a way that the participant?s confidentiality is preserved) so that the baseline information can be used in conjunction with the information about health conditions that develop. Tumour-level information held by the cancer registry has already strengthened UK Biobank and will enable a diverse range of research into improving the prevention, diagnosis and treatment of cancer. UK Biobank request to extend this dataset to include receptor status (i.e. ER, PR and HER2 status) for all invasive and DCIS breast tumours to allow for stratification of these tumours by receptor-defined subtypes.  This will allow UK Biobank applicants to evaluate the variations in the risks of breast cancer across each receptor subtype by demographic or clinical characteristics, and to extend knowledge regarding the prognostic utility of receptor subtypes. In addition a description of the coding used for tumours site will be included.","National Cancer Registration and Analysis Service","Personally identifiable","Consent",2014-10-16
"DRR27","ODR_2014_254","Sandwell and West Birmingham Hospitals NHS Trust","CQC Registered Health or/and Social Care provider","Clinical audit of patients diagnosed with acute diverticulitis over the last 7 years at Sandwell & West Birmingham Hospitals NHS Trust, who were later diagnosed with colorectal cancer.","National Cancer Registration and Analysis Service","Personally identifiable","Direct Care",2014-10-17
"DRR28","ODR_2014_128a","Clinical Practice Research DataLink","Government Agency (Health and Adult Social Care)","The purpose of part of this study is to investigate potential causes of discrepant results and describe patient level linked data that might be useful in epidemiological studies. The  study will assess the relative risk of cancer based on different case definitions between the CPRD and cancer registry.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2014-10-23
"DRR29","ODR_2014_128b","Clinical Practice Research DataLink","Government Agency (Health and Adult Social Care)","The purpose of part of this study is to investigate potential causes of discrepant results and describe patient level linked data that might be useful in epidemiological studies. The study will assess the relative risk of cancer based on different case definitions between the CPRD and cancer registry.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2014-10-23
"DRR30","ODR_2014_241a","Royal College of Surgeons Clinical Effectiveness Unit","Independent Sector Organisation","The aim of the audit is to assess the process of care and its outcomes in men diagnosed with prostate cancer in England and Wales. The principal audit questions will examine the following against the available appropriate national clinical standards:
?service delivery and organisation of care in England and Wales
?characteristics of newly-diagnosed prostate cancer, how the cancer was detected and the referral pathway
?diagnostic and staging process and planning of initial treatment
?initial treatments received 
?patient experience and health outcomes 12 months after diagnosis
?overall and disease-free survival
?feasibility of a PSA testing audit in primary care?","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2014-10-28
"DRR31","ODR_2014_241b","Royal College of Surgeons Clinical Effectiveness Unit","Independent Sector Organisation","The aim of the audit is to assess the process of care and its outcomes in men diagnosed with prostate cancer in England and Wales. The principal audit questions will examine the following against the available appropriate national clinical standards:
?service delivery and organisation of care in England and Wales
?characteristics of newly-diagnosed prostate cancer, how the cancer was detected and the referral pathway
?diagnostic and staging process and planning of initial treatment
?initial treatments received 
?patient experience and health outcomes 12 months after diagnosis
?overall and disease-free survival
?feasibility of a PSA testing audit in primary care.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2014-10-28
"DRR32","ODR_2014_241c","Royal College of Surgeons Clinical Effectiveness Unit","Independent Sector Organisation","The aim of the audit is to assess the process of care and its outcomes in men diagnosed with prostate cancer in England and Wales. The principal audit questions will examine the following against the available appropriate national clinical standards:
?service delivery and organisation of care in England and Wales
?characteristics of newly-diagnosed prostate cancer, how the cancer was detected and the referral pathway
?diagnostic and staging process and planning of initial treatment
?initial treatments received 
?patient experience and health outcomes 12 months after diagnosis
?overall and disease-free survival
?feasibility of a PSA testing audit in primary care.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2014-10-28
"DRR33","ODR_2014_281","Addenbrooke's Hospital, Cambridge University Hospitals Trust","CQC Registered Health or/and Social Care provider","We are requesting data to look at the trends and outcomes of management of men presenting with prostate cancer to our hospital over the last decade. The key questions is to identify if we can improve the ability to identify those men who died of their disease. To do this we intend to amalgamate data from their clinical and histological staging with information from their clinical biopsies and imaging. A second reason is to assess our provision of care and service quality of our treatments.","National Cancer Registration and Analysis Service","Personally identifiable","Direct Care",2014-11-25
"DRR34","ODR_2014_289","UK Biobank","Independent Sector Organisation","To enrich the scope and quality of data available to UK Biobank researchers, the NCIN have recommended that a core dataset is held by UK Biobank for each participant diagnosed with cancer. This will allow researchers to identify and subclassify both incident and prevalent cancers in the cohort. UK Biobank also requests hospital code(s) recorded on participants six months either side of a diagnosis of an incident cancer, to enable UK Biobank to obtain tissue specimens from NHS diagnostic archives as outlined in the Phase 2 protocol.","National Cancer Registration and Analysis Service","Personally identifiable","Consent",2014-12-03
"DRR35","ODR_2014_221a","Public Health England","Government","To establish systems for prospective enhanced surveillance of HPV type-specific infections and HPV vaccination history for cervical disease.  

Objectives of pilot 
?To identify (retrospectively) up to 125 cancers in women under 30 years in 2011.
?To pilot systems for the collection of enhanced surveillance data (vaccination status and type-specific HPV infection status), including systems for type-specific HPV testing of biopsy material.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 3 (s251)",2014-12-19
"DRR36","ODR_2014_325","Southampton City Council","Local Authority","We are undertaking an audit of health inequalities in Southampton.  One important indicator we wish to consider is potential health inequalities in cancer incidence over time in the city. Cancer incidence data will be compared by local deprivation quintile (based on the IMD 2010). In order to do this analysis, data will be required at LSOA level and then aggregated up to local quintiles. Data will also be pooled over a number of years (e.g. 3-5 years) to ensure the analysis is robust and not disclosive in any way. Only aggregated results will be presented.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2014-12-23
"DRR37","ODR_2014_078","Monitor Deloitte","Commercial","This project aims to first develop National RfD Frameworks for breast, lung, prostate, and brain cancers that build on the learnings from the National RfD Framework development; contributing to the development of a full cancer framework in line with Macmillan?s Population Oncology.
Secondly, this project will conduct a local RfD pilot for NHS Manchester as input into a sub-set of modules required for the Manchester Redesign Programme for specifically breast and lung cancer. Furthermore, the project will conduct further local RfD pilots in North West London for breast, lung, and brain cancer and Yorkshire and Humber for brain cancer.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2015-01-06
"DRR38","ODR_2014_265","Leeds Teaching Hospitals NHS Trust","CQC Registered Health or/and Social Care provider","Data will be used to perform survival analysis on patients included in Radical Bladder Audit.","National Cancer Registration and Analysis Service","Personally identifiable","Consent",2015-01-06
"DRR39","ODR_2014_278","University of Oxford","Academic Institution","The English National Cancer Registration Service (NCRS) systematically captures tumour level data on all primary and subsequent primary occurrences of malignant neoplasms and certain non-malignant tumours for patients diagnosed in England.  We will conduct a retrospective study of women, aged over 24 years at diagnosis, with a primary invasive cancer (or in situ breast cancer) in the cancer registry.","National Cancer Registration and Analysis Service","Anonymised ","Regulation 2 (s251)",2015-01-06
"DRR40","ODR_2014_320","Monitor Deloitte","Commercial","By linking and analysing routinely collected data, such as Cancer Registry data and Hospital Episode Statistics, it allows us to map the cancer journey from diagnosis to death or continued survival, describing the health outcomes that patients experience. This can include survival times as well as the rate and frequency of cancer, and non-cancer related morbidities.","National Cancer Registration and Analysis Service","Anonymised ","Regulation 2 (s251)",2015-01-06
"DRR41","ODR_2014_082","Imperial College London","Academic Institution","The aim of this project is to identify patient groups that are at risk of having poor surgical and cancer outcomes, and quantity their risk. The study will compare surgical outcomes such as 30-day mortality, 90-day mortality and rate of bowel anastomosis in different potentially vulnerable patients groups and as a result, develop a risk prediction model that can be utilised in clinical settings. 
This project will compare and contrast perioperative outcomes between England and other countries. The project will focus on colorectal, hepatobiliary, oesophageal/stomach and prostate cancers perioperative outcomes and survival.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2015-01-07
"DRR42","ODR_2014_143","Clinical Practice Research DataLink","Government Agency (Health and Adult Social Care)","The primary objectives of this study are to examine whether patients with gynaecological cancers exposed to statins / beta-blockers / aspirin are more likely to have reduced cancer-specific mortality rates. Secondary objectives will also investigate the effect of medications on complementary outcomes such as cancer stage at diagnosis, all-cause mortality rates and cancer recurrence rates.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2015-01-19
"DRR43","ODR_2014_245","University of Leeds","Academic Institution","This application from the University of Leeds set out the purpose of establishing a research database that would include all individuals aged <30 years diagnosed with a malignant tumour whilst resident in the former Yorkshire and Humber SHA region from 1974 to present day. The database would be used to carry out a programme of epidemiological and applied health research investigating incidence, survival and aetiology of cancer occurring in children and young people.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 2 (s251)",2015-01-20
"DRR44","ODR_2014_295a","London Cancer Alliance","Other Health and Social Care System Public Body","The aims of the study are:
?Understand the whole diagnostic pathway, from first recognising a symptom to emergency presentation in secondary care, including the role of primary care.
?Map the patient, clinical and organisational factors that contribute to an emergency new cancer diagnosis
?Suggest ways to improve outcomes by identifying gaps in service provision and any opportunities to diagnose cancer earlier","National Cancer Registration and Analysis Service","Personally identifiable","Consent, Statistics and Registration Service 2007",2015-01-20
"DRR45","ODR_2014_293","Imperial College London","Academic Institution","Our principal aim is to determine the 3-year programme sensitivity of annual faecal immunochemical test (FIT) for detection of advanced adenomas (AA) or colorectal cancer (CRC) in people who took part in the National Bowel Cancer Screening Programme and who were diagnosed with intermediate risk adenomas requiring colonoscopic surveillance.","National Bowel Cancer Screening Programme","Personally identifiable","Consent",2015-01-22
"DRR46","ODR_2014_043b","Clinical Practice Research DataLink","Government Agency (Health and Adult Social Care)","Using data from the General Practice Research Database with linkage to data on hospital admissions, cancer registrations and death registration (including cause of death), we will carry out the following:
i) Calculate hazard ratios of VTE compared with controls both for overall cancer and individually for the most common cancers in the UK. 
Ii) Determine the incidence of VTE among cancer patients during episodes of inpatient hospitalisation, and whether and by how much surgery additionally increases the within-hospital risk.
Iii) Compare the incidence of VTE during different ambulatory periods among cancer patients. We will create successive exposure intervals (for example of 7-14 days duration) post hospital discharge (both for inpatient and day case admissions) and following outpatient chemotherapy, radiotherapy or other ambulatory cancer treatments to identify periods of highest risk and when the risk returns to baseline.
Iv) Establish how the incidence of VTE in high risk periods (especially ambulatory) is influenced by between patient covariates (e.g. age, sex, cancer type, cancer stage and comorbidity).
V) Determine the incidence of VTE on the basis of time since initial cancer diagnosis (both absolute risk and risk compared with controls) in order to assess the length of time following a cancer diagnosis an increased risk of VTE persists.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2015-01-26
"DRR47","ODR_2014_082b","Imperial College London","Academic Institution","The aim of this project is to identify patient groups that are at risk of having poor surgical and cancer outcomes, and quantity their risk. The study will compare surgical outcomes such as 30-day mortality, 90-day mortality and rate of bowel anastomosis in different potentially vulnerable patients groups and as a result, develop a risk prediction model that can be utilised in clinical settings. This project will compare and contrast perioperative outcomes between England and other countries. The project will focus on colorectal, hepatobiliary, oesophageal/stomach and prostate cancers perioperative outcomes and survival.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2015-02-05
"DRR48","ODR_2014_327","University of Glasgow","Academic Institution","This epidemiological study has been agreed by the SDRS Sub-committee as being necessary to enable a full evaluation of the incidence and potential causes of thyroid cancer around Sellafield. The study seeks to build upon and update thyroid cancer incidence studies, particularly around the Sellafield plant.  This is of importance because of the recent upsurge of interest in rates of thyroid cancer around the Chernobyl and Fukushima plants.  The dismantling of the two pile chimneys has brought the 1957 fire back into the public limelight also.","National Cancer Registration and Analysis Service","Anonymised ","Regulation 2 (s251)",2015-02-06
"DRR49","ODR_2014_313","Addenbrooke's Hospital, Cambridge University Hospitals Trust","CQC Registered Health or/and Social Care provider","The purpose of this study is to audit our clinical practice in terms of the survival outcome of patients with hepatobiliary and pancreatic malignancy/neoplasm managed by the Addenbrooke's Hospital. The data will be used to associate the type of malignancy/neoplasm with the survival outcomes of the patients.","National Cancer Registration and Analysis Service","Personally identifiable","Direct Care",2015-02-12
"DRR50","ODR_2014_243","University College London","Academic Institution","The screening of serum at defined time intervals leading up to cancer diagnosis offers a unique biological window to identify novel early diagnosis biomarkers- a biologic feature that can be used to measure the presence of disease- for future clinical use as diagnostic tools. The early diagnosis consortium (EDC) is a joint collaboration between Cancer Research UK, Cancer Research Technology and Abcodia. Through an exclusive commercial license held by Abcodia, the EDC will screen longitudinal prediagnosis serum of women who developed cancer while participating in the United Kingdom Collaborative Trial of Ovarian Cancer Screening (UKCTOCS). All trial participants were followed up for health outcomes using postal questionnaires as well as tracked through the Health and Social Care Information Centre for cancer registrations and deaths. However, for the purposes of the EDC project, essential information on the clinical characteristics of tumours that have developed in participants is not complete. The requested data release of tumour details from the National Cancer Registration Service (NCRS) is essential for the EDC project to accurately select and match patients for discovery experiments.","National Cancer Registration and Analysis Service","Personally identifiable","Consent",2015-02-13
"DRR51","ODR_2014_253","Clinical Practice Research DataLink","Government Agency (Health and Adult Social Care)","Objective of the study is to develop and validate a ?Framingham Heart Study type"" risk prediction tool in patients with type 2 diabetes (T2D) for the subsequent occurrence of cancer, using baseline and time-varying factors, routinely measured in primary care. We require linked cancer information to provide the ?gold standard? data on cancer incidences the main outcome for the study. It is essential we know mortality of patients, and can examine cancer related mortality and all-cause mortality. We plan to examine the usefulness of inclusion of an indicator of deprivation in the risk prediction model and to achieve this we need to have a validated variable.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2015-02-26
"DRR52","ODR_2014_349","University Hospitals of North Midlands NHS Foundation Trust","CQC Registered Health or/and Social Care provider","Haematological cancers (site specific) ongoing trust audit.","National Cancer Registration and Analysis Service","Personally identifiable","Direct Care",2015-03-02
"DRR53","ODR_2014_355","South Tyneside NHS Foundation Trust","CQC Registered Health or/and Social Care provider","Evaluation of the Bowel Scope arm of the BCSP. Some patients go on to have a colonoscopy performed after their initial screening flexible sigmoidoscopy. We wish to evaluate the outcome of these colonoscopy procedures, in terms of identifying which patients require them, and why, and what the findings at these procedures are. Subject IDs will be required to marry up colonoscopy with flexible sigmoidoscopy procedures, but no identifying data (name, DOB, postcode etc.) will be required. This data will be used to write a journal publication, and abstract submissions to national and international conferences. It will also be presented at BCSP and local meetings, in an anonymised fashion.","National Bowel Cancer Screening Programme","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2015-03-09
"DRR54","ODR_2014_271","Small Area Health Statistics Unit","Academic Institution","The present study proposes to address the following questions:
a.Does living near a municipal solid waste incinerator in operation following implementation of the EU Waste Incineration Directive(WID)  (2000/76/EC) pose a risk to reproductive and infant health?
b.Do the emissions from WID operating incinerators pose a risk to reproductive and infant health?","National Congenital Anomalies and Rare Disease","Personally identifiable","Regulation 5 (s251)",2015-03-13
"DRR55","ODR_2014_034f","London School of Hygiene & Tropical Medicine","Academic Institution","Several factors have been implicated in contributing to poor cancer outcomes and survival inequalities. They include: 
- Low awareness of cancer symptoms in the general population and among general practitioners 
- Barriers to symptomatic presentation 
- Delay in referral and diagnosis in primary and/or secondary care 
- Comorbidity precluding effective treatment 
- Sub-optimal treatment of cancer patients 

To strengthen the current evidence, we propose to study the entire clinical pathway of cancer patients: from symptomatic presentation in primary care, to diagnostic investigations and specialist referrals, to cancer treatment and patient management after diagnosis. This will be achieved using an up-to-date linkage between existing datasets containing detailed information on the cancer, its management and treatment, and on the primary care events occurring before and after the cancer diagnosis","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2015-03-20
"DRR56","ODR_2014_202","University of Cambridge","Academic Institution","Data is used for developing the PREDICT breast cancer prognosis model for improved model fitting for younger patients and longer term and shorter term predictions.","National Cancer Registration and Analysis Service","Anonymised ","Regulation 2 (s251)",2015-03-20
"DRR57","ODR_2014_348","United Lincolnshire Hospitals NHS Trust","CQC Registered Health or/and Social Care provider","Clinical trial to detect an improvement in survival for ERCC1+ve patients treated with a non-platinum chemotherapy compared to platinum-based treatment.","National Cancer Registration and Analysis Service","Personally identifiable","Consent",2015-03-20
