"Row ID","ODR Reference","Data Recipient","Organisation Type","Purpose","Data Source","Data type provided to applicant ","Legal basis for the release of personally identifiable data","Date of release"
"DRR152","ODR1516_490","Royal College of Physicians","Independent Sector Organisation","The Data Recipient will access data on lung cancer patients to    complete the annual analysis for the National Lung Cancer Audit reports (2015 to 2020).   The National Lung Cancer Audit is commissioned by the Health Quality Improvement Partnership. It  will audit a combination of process and outcome measures which are closely aligned to the NICE quality  standards (QS) 2012, NICE lung cancer guideline 2011 (GL) and NICE technology appraisals (TA).","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-06-02
"DRR146","ODR1516_351","Leeds Teaching Hospitals NHS Trust","CQC Registered Health or/and Social Care provider","This project aims to increase community referral rates for chest X-ray in patients in accordance with Department of Health and NICE guidance through coordinated interventions in primary and secondary care across Leeds. Some of these interventions will be cross-city, whereas other components will be concentrated on a target area of Inner East and Inner South Leeds, areas with a high prevalence of lung cancer. The central message of the campaign is that members of the public with a cough or other chest symptoms for over three weeks should have a chest X-ray performed. ","National Cancer Registration and Analysis Service","Personally identifiable","Direct Care",2016-06-06
"DRR147","ODR1516_011A","University College London","Academic Institution","The Data Recipient will conduct a non-clinical randomised control trial to test the effectiveness (intention-to-treat analysis) and efficacy (per-protocol analysis) of primary care based text-message reminders to promote uptake of  guaiac based Faecal Occult Blood (gFOB) test among people aged 60 and over who live in London and registered with a GP practice.  
","National Bowel Cancer Screening Programme","Personally identifiable","Regulation 5 (s251)",2016-06-07
"DRR155","ODR1516_369","University of Leeds","Academic Institution","This programme aims to create a unique national dataset on colorectal cancer that will offer, for the first time, high quality national information on all patients treated with colorectal cancer within the NHS.  These data will allows us to monitor the hospital careers and outcomes of all patients at a population level and, hence, scrutinize the clinical performance of the NHS.  ","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-06-22
"DRR144","ODR1516_063","University of Hull","Academic Institution","The data are requested to underpin a quantitative case study of gastroesophageal cancers (GOC) within a regional referral centre. The cohort under analysis is all patients presenting within a given timeframe. Epidemiology and geographical information science will be applied to underpin the statistical analysis of datasets. This research sits on the preposition that GOC cases should reflect population profiles of usual GOC attributes and evaluates this at a small scale (i.e. areas more dense with populations of elderly males or from lower socioeconomic groups, should reflect higher rates of the cancer - thus producing incidence 'hot spots').","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2016-06-27
"DRR163","ODR1516_063","University of Hull","Academic Institution","The Data Recipient will access cancer registration data to underpin a quantitative case study of gastroesophageal cancers (GOC) within a regional referral centre. The cohort under analysis is all patients presenting within a given timeframe. Epidemiology and geographical information science will be applied to underpin the statistical analysis of datasets. This research sits on the preposition that GOC cases should reflect population profiles of usual GOC attributes and evaluates this at a small scale (i.e. areas more dense with populations of elderly males or from lower socioeconomic groups, should reflect higher rates of the cancer - thus producing incidence 'hot spots').","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2016-07-07
"DRR161","ODR1516_025","University of Oxford","Academic Institution","The Data Recipient will access linked cancer registration data  to examine the relationship between risk factors such as reproductive history, hormone use and lifestyle factors and subtypes of common cancers in the Million Women Study cohort - a large cohort study of middle-aged UK women. This research should not only provide information on which risk factors are associated with specific cancer subtypes but may also clarify some of the biological mechanisms underlying these associations.","National Cancer Registration and Analysis Service","Personally identifiable","Consent",2016-07-08
"DRR168","ODR1516_300","University College London","Academic Institution","The Data Recipient will access cancer registration data to document the differences in survival of lung cancer patients older than 65 years between England and the US.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-07-08
"DRR159","ODR_2014_381","Leiden University","Academic Institution","The Data Recipient will access cancer registration data to compare treatment strategies and survival patterns across several European countries in women aged 70+ with stage I-III breast cancer.","National Cancer Registration and Analysis Service","Anonymised","No legal gateway required",2016-07-18
"DRR160","ODR1516_018","Oxford University","Academic Institution","The Data Recipient will access cancer registration data to allow the analysis of diet and other risk factors in relation to the incidence of sub-types of cancer within the EPIC-Oxford  cohort. The Data Recipient will obtain data on method of detection, stage of disease, and pathological features including information from pathology reports, microscope slides and tumour tissue for all types of cancer in a cohort study of 65,000 men and women recruited throughout the UK in 1993-2000.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2016-07-21
"DRR171","ODR1516_455","Oxford Academic Health Science Network","CQC Registered Health or/and Social Care provider","The Data Recipient will access cancer registration data to analyse referral to treatment times, case mix, different methods of diagnosis and accuracy in diagnosis from the different sites that use Oxford provided PET-CT.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-07-29
"DRR172","ODR1516_497","University of Nottingham","Academic Institution","The Data Recipient will access cancer registration data  to provide evidence to drive improvements in access to active treatments for people with lung cancer in the UK (including mesothelioma) and thereby to improve outcomes for these people. A programme of research using the National Lung Cancer Audit and additional linked clinical datasets will be conducted to define (1)proportion of people with lung cancer receive active anti-cancer treatments (2) patient and tumour level features that are associated with treatment choices (3)  trust level features associated with treatment choices and outcomes (4) survival by  specific surgical, radiotherapy chemotherapy or biological therapies given(5) hospital admission rate of patients treated with specific surgical, radiotherapy, chemotherapy and/or biological therapies","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-08-04
"DRR166","ODR1516_180","Queen Mary's University London","Academic Institution","The Data Recipient will access cancer screening data to examine the effect of FIT on uptake instead of guaiac Faecal Occult Blood testing.   Approximately, 12,000 FIT invitations will be generated between November 2015 and April  2016.  The effect on uptake will be determined, as well as sub-group analysis (based on screening history, age, sex and IMD quartile).","National Bowel Cancer Screening Programme","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-08-09
"DRR164","ODR1516_099","University of Oxford","Academic Institution","The Data Recipient will access cancer registration data to describe the epidemiology in England of four main breast cancer subtypes, (Luminal A, Luminal B, Her2 enriched, Triple negative) as defined by oestrogen receptor (ER), progesterone receptor (PR) and human epidermal growth factor 2 (HER2) expression, in relation to age and ethnicity of women with breast cancer, and other tumour characteristics.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-08-11
"DRR167","ODR1516_259","TraceMedia Projects","Commercial","The Data Recipient will access linked cancer registration data to visualise the patient pathway in two distinct ways (1) to plot each event for a patient to give a very detailed view and (2) to produce a summary for the length of each patients pathway. The tools are being designed for clinical staff to view details of their patients easily and identify anything untoward in a pathway, such as delays, with ease, as well as for commissioners and Trusts to better performance manage pathways by being able to easily see pathway lengths, events and which provider is responsible for which part. The data supplied will be perturbed. This work is commissioned by PHE.","National Cancer Registration and Analysis Service","Anonymised ","No legal gateway required",2016-08-15
"DRR158","ODR_2014_229","University of East Anglia","Academic Institution","The Data Recipient will access cancer registration data to investigate if access to a GP has any impact on routes into secondary care for treatment or palliation. The following hypotheses will be tested: (1) Patients living farthest from GP and hospital are less likely to have their cancer detected in a national screening programme;  (2)  Distance to GP and to hospital of treatment is associated with the route to diagnosis and this is moderated by age, socio-economic status and rurality and (3) Waiting times from diagnosis to treatment are influenced by distance to GP and to hospital.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-08-16
"DRR171","ODR1516_438","Nemours Biostatistics Core","Commercial","The Data Recipient will access cancer registration data to examine  the difference in the survival between male and female paediatric and young adult AML patients across the age at diagnosis, ethnicity and AML subtypes.","National Cancer Registration and Analysis Service","Anonymised ","No legal gateway required",2016-08-16
"DRR169","ODR1516_395","JRC-EUROCAT Central Registry, European Commission","Independent Sector Organisation","The Data Recipient will access congenital anomalies and rare disease data to enable EUROCAT to: (1) provide essential epidemiologic information on congenital anomalies in Europe; (2) facilitate the early warning of new teratogenic exposures; (3)  evaluate the effectiveness of primary prevention; (4) assess the impact of developments in prenatal screening; (5) act as an information and resource centre for the population, health professionals and managers regarding clusters or exposures or risk factors of concern; (6) provide a ready collaborative network and infrastructure for research related to the causes and prevention of congenital anomalies and the treatment and care of affected children; and (7) act as a catalyst for the setting up of registries throughout Europe collecting comparable, standardised data.","National Congenital Anomalies and Rare Disease","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-08-31
"DRR173","ODR1617_028","Royal Brompton and Harefield NHS Foundation Trust","CQC Registered Health or/and Social Care provider","The Data Recipient will access cancer registration data to conduct a service evaluation to quantify the impact of the 2010 British Thoracic Society guidelines on resection for lung cancer on clinical practice and service delivery.  Outcomes and resection rates with further be compare with private (USA) and other mixed private/public healthcare systems (Brazil) to determine an international benchmark/reference for UK practice.","National Cancer Registration and Analysis Service","Anonymised ","No legal gateway required",2016-08-31
"DRR162","ODR1516_046B","Clinical Practice Research DataLink","Government Agency (Health and Adult Social Care)","The Data Recipient will access cancer registration data to investigate whether patients with upper gastrointestinal (GI) cancers  who are exposed to statins / aspirin have longer survival times after cancer diagnosis. This will be achieved by comparing survival after diagnosis of upper GI cancers in users of statins / aspirin with non-users. This study could identify medications which could slow the progression of upper GI cancers, which could then be tested in clinical trials.  Alternatively, the study could identify medications which increase the risk of progression of upper GI cancers; the use of such medications in these patients may need to be reconsidered.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","Regulation 5 (s251)",2016-09-09
"DRR176","ODR1617_053","Clinical Practice Research DataLink","Academic Institution","The Data Recipient will access cancer registration data to determine the delays that lead to poor outcome for cancer patients in the UK and to test the  hypothesis: delays along the cancer patient pathway account for the poor outcome noted in the UK. The objectives of this study are to: (1) compare the pathways between patients who die within one year of diagnosis to those that survive beyond one year to determine the cause and effect of delays; (2)establish the factors along the pathway that leads a patient to be treated with palliative rather than with curative intent; (3) determine the reasons why patients present as an emergency rather than electively; (4) describe the effect of the type of operation and complications on 1-year  and conditional 5 year survival; and (5)use regression analysis to determine the confounders and causes of delays.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","Regulation 5 (s251)",2016-09-12
"DRR179","ODR1617_115","Clinical Practice Research DataLink","Government Agency (Health and Adult Social Care)","The Data Recipient will access cancer registration data to test medications associated with altered risk of breast cancer progression using connectivity mapping. The aim of this study is to determine the association between use of the identified medications (from connectivity mapping) after breast cancer diagnosis and risk of breast cancer-specific mortality.    The study could identify (previously unrecognized) medications which increase the risk of breast cancer progression; current licensing and use of such medications may need to be reconsidered. This study also has the potential to identify licensed medications that reduce risk of breast cancer progression and warrant further study in clinical trials.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","Regulation 5 (s251)",2016-09-12
"DRR174","ODR1617_040 ","University of Leeds","Academic Institution","The Data Recipient will access cancer registration data to understand if there is any demographic bias to the LAPCD survey invitation.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-09-16
"DRR175","ODR1617_040","University of Leeds","Academic Institution","The Data Recipient will access cancer registration data to link the data collected by Life After Prostate Cancer Diagnosis  survey of men with prostate cancer, with routine data from PHE.  The following objectives will be met through this linkage: (1) ensure maximum exploitation of LAPCD survey data through linkage with existing health datasets; (2)identify factors associated with good/poor QoL outcomes in order to inform future service delivery.","National Cancer Registration and Analysis Service","Personally identifiable","Consent",2016-09-16
"DRR177","ODR1617_076","European Network of Cancer Registries (ENCR)","Other","The Data Recipient will access cancer registration data to create a standardized and comparable database for monitoring cancer incidence and mortality and to provide regular information on the burden of cancer in Europe.  The output from the European cancer incidence and mortality database will display and compare epidemiological indicators on cancer incidence and mortality, deepening the analysis by cancer site, sex, age group, calendar period, geographic area, and morphology groups.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-09-20
"DRR178","ODR1617_097","EUROCARE-6 (Istituto Superiore di Sanit?, Italy)","Academic Institution","The Data Recipient will access cancer registration data to update the EUROCARE database in order to: (1) monitoring variations in cancer survival by European country/region, age, time and gender, by including up-to-date data from an increasing number of registries; (2) extend the use of tumour characteristics that potentially influence treatments and outcome; (3) study both long-term survival and temporal trends in survival by updating information on life status ascertainment for all cancer patients recorded by cancer registries; (4) estimate updated cancer prevalence (complete and by disease duration); (5) estimate updated incidence, survival and prevalence of rare cancers; (6) estimate the proportion of cancer patients who are cured of their disease; and (7) to estimate the number and proportion of avoidable deaths.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-09-20
"DRR165","ODR1516_102","Sheffield University","Academic Institution","The Data Recipient will access cancer registration data to validate a decision support interventions (DESIs) specifically tailored to older women facing the choice between surgery or primary endocrine therapy (PET) or (for women with higher risk cancers), the choice between chemotherapy or no chemotherapy. ","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-09-23
"DRR180","ODR1516_369/A5","University of Leeds","Academic Institution","The Data Recipient will access cancer registration data to perform analyses to support the (1) development of a national colorectal cancer dataset to enhance the extent, timeliness and value of its contents, (2) pioneer the development and application of appropriate statistical methodologies to analyse these complex data (3) monitor clinical performance/outcomes of NHS colorectal cancer services to eliminate inequalities and help improve survival.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-10-12
"DRR181","ODR1617_015","Cheshire East Council","Local Authority","The Data Recipient will access cancer registration data to  investigate cancer incidence rates for a number of cancers across Cheshire East.  Incidence at Middle Layer Super Output Area (MSOA) will be used to construct age-standardised incidence rates for a range of local geographies, to inform the cancer section of the Joint Strategic Needs Assessment (JSNA) and to support our two Clinical Commissioning Groups - NHS Eastern Cheshire and NHS South Cheshire - in developing initiatives to improve early diagnosis rates and reduce the number of emergency presentations for cancer.","National Cancer Registration and Analysis Service","Anonymised","No legal gateway required",2016-10-18
"DRR182","ODR1516_380","University College London","Academic Institution","The Data Recipient will conduct an observational study of the uptake and positivity of gFOBt screening to examine 10-year trends and socioeconomic inequalities in first-time participants of the Bowel Cancer Screening Programme and query if programme uptake has become more socioeconomically equitable over time.","National Bowel Cancer Screening Programme","Anonymised","No legal gateway required",2016-10-28
"DRR183","ODR_2014_408/A1","University of Leeds","Academic Institution","The Data Recipient will conduct a case-control study designed to compare patients who had relapsed from melanoma with those who had survived at least 5 years after diagnosis within the Melanoma Lifestyle Study Cohort. The data shall be used for case ascertainment, validation of baseline data and improving the completeness of pathology data held on the cohort to allow for case-mix adjustment.","National Cancer Registration and Analysis Service","Personally identifiable","Consent",2016-11-01
"DRR184","ODR1516_490/A2","Royal College of Physicians","Independent Sector Organisation","The Data Recipient will access data on lung cancer patients to    complete the annual analysis for the National Lung Cancer Audit reports (2015 to 2020).   The National Lung Cancer Audit is commissioned by the Health Quality Improvement Partnership. It  will audit a combination of process and outcome measures which are closely aligned to the NICE quality  standards (QS) 2012, NICE lung cancer guideline 2011 (GL) and NICE technology appraisals (TA).","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-11-07
"DRR185","ODR1516_490/A1","Royal College of Physicians","Independent Sector Organisation","The Data Recipient will access data on lung cancer patients to    complete the annual analysis for the National Lung Cancer Audit reports (2015 to 2020).   The National Lung Cancer Audit is commissioned by the Health Quality Improvement Partnership. It  will audit a combination of process and outcome measures which are closely aligned to the NICE quality standards (QS) 2012, NICE lung cancer guideline 2011 (GL) and NICE technology appraisals (TA).","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-11-07
"DRR186","ODR1516_460","Guy's and St Thomas' Hospital Foundation Trust","CQC Registered Health or/and Social Care provider","The Data Recipient will conduct an observational  study of patients with a new diagnosis of Lymphoma (but excluding the diagnosis of Hodgkin's Lymphoma), who are aged 15 to 29 years inclusive of the date of diagnosis, and who are diagnosed between January 1st 2015 and December 31st 2017.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2016-11-09
"DRR187","ODR1617_083","North Bristol Trust  & University Hospitals Bristol Foundation Trust","CQC Registered Health or/and Social Care provider","The Data Recipient will conduct a local service evaluation of antenatal detection rates of congenital heart disease (CHD) from 2009-2014. The objective is to see if detection has improved over the period by comparing antenatal, to post- natal CHD data.","National Congenital Anomalies and Rare Disease","Anonymised","No legal gateway required",2016-11-11
"DRR188","ODR1516_364/A","Cancer Research UK","Independent Sector Organisation","The Data Recipient will utilise the data to facilitate the mailing of two versions of a targeted Cancer Research UK & NHS branded personalised bowel cancer screening endorsement letters. The letter will arrive 2 days following an NHS bowel cancer screening test kit, to ensure they are received by patients at a time when the content is most relevant to them. The direct mail activity will run in 27 CCG areas only and will be supported by a CRUK bowel cancer screening advertising campaign during the project period. The advertising campaign aims to raise awareness of the Bowel Cancer Screening Programme and begin to normalise participation, while the direct mail element of the project aims to reduce barriers to participation among those invited and provide a cue to action. To support this activity, a third party mailing company has been engaged.","National Bowel Cancer Screening Programme","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-11-17
"DRR189","ODR1617_012","University of Leeds","Academic Institution","The Data Recipient will conduct a programme of observational studies to investigate (a) the effect of concurrent exposure to metformin on survival from melanoma in patients with type 2 diabetes and (b) the effect of incidental drug exposures, smoking and the obesity related inflammation syndrome on survival from melanoma.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-11-17
"DRR190","ODR1617_204","Birmingham Women?s Hospital NHS Trust","CQC Registered Health or/and Social Care provider","The Data Recipient will access National Congenital Anomalies and Rare Disease Data to conduct a service evaluation of Trisomies specimens sent to Cyto Lab from Birmingham Women?s Hospital NHS Trust to  complete trust SQAS screening annual report 2015/16","National Congenital Anomalies and Rare Disease","Personally identifiable","Direct Care",2016-11-22
"DRR191","ODR1516_259/A2","TraceMedia Projects","Commercial","The Data Recipient will access linked cancer registration data to visualise the patient pathway in two distinct ways (1) to plot each event for a patient to give a very detailed view and (2) to produce a summary for the length of each patient's pathway. The tools are being designed for clinical staff to view details of their patients easily and identify anything untoward in a pathway, such as delays, with ease, as well as for commissioners and trusts to better performance manage pathways by being able to easily see pathway lengths, events and which provider is responsible for which part. The data supplied will be perturbed. This work is commissioned by PHE.","National Cancer Registration and Analysis Service","Anonymised ","No legal gateway required",2016-11-25
"DRR192","ODR1516_410","Papworth Trust","CQC Registered Health or/and Social Care provider","The Data Recipient has a remit to collect, process and despatch human tissue, pleural fluid and blood samples from NHS patients with clinically proven mesothelioma to support asbestos related research.  Through data linkage with the National Cancer Registration and Analysis Service (NCRAS)  and in line with the consent given by patients, the Data Recipient will link these samples to information on the patient's diagnosis, treatment and health status. Clinical annotated samples will be available to researchers in both publicly or charitably funded institutions as well as those in commercial organisations in the UK, EEA, Australia, New Zealand, USA and Canada.","National Cancer Registration and Analysis Service","Personally identifiable","Consent and Regulation 5 (s251)",2016-11-30
"DRR193","ODR1617_131","Genomics England Ltd","Other Health and Social Care System Public Body","The Data Recipient will create an observational research database combining genomic sequence data with medical records. Through the 100,000 Genome Project, researchers will study how best to use genomics in healthcare and how best to interpret the data to help patients. This release is for a sub-cohort of the patients who have consented to be part of the 100,000 Genome Project only (~600 patients).","National Cancer Registration and Analysis Service","Personally identifiable","Consent",2016-12-23
"DRR194","ODR1516_447","North Tees and Hartlepool NHS Foundation Trust","CQC Registered Health or/and Social Care provider","The Data Recipient will process bowel screening data to determine the adenoma, advanced adenoma and cancer yield of each colonoscopy surveillance cohort within the Bowel Screening Programme and to (1) determine the factors (adenoma and subject specific) at screening and surveillance which can predict the outcome of further surveillance and (2) determine the criteria on which to stop post-polypectomy surveillance.","National Bowel Cancer Screening Programme","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2017-01-03
"DRR195","ODR1516_470","Institute of Cancer Research","Academic Institution","The Data Recipient will access cancer registration data to investigate the range of long-term late-effects of treatment in young women with Hodgkin Lymphoma (HL), in order to improve understanding of the risks of their treatment, and to create a unique risk profile of incidence and severity of multiple long term co?morbidities. The evidence generated in this study will enable clinicians and patients to understand patients? personalised risk profile when deciding on and consenting for treatment, and when managing follow-up and screening for late-effects.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2017-01-05
"DRR196","ODR1516_313/A1","University of Cambridge","Academic Institution","The Data Recipient will explore how nephrectomy services in England have evolved in response to the 2002 NICE recommendation on service reconfiguration. This analysis will include (1) examining changes to the numbers and types of nephrectomy performed in English hospitals and how service restructuring may have influenced surgeons? choice for performing specific types of nephrectomy; (2) determining if renal cancer service centralisation has resulted in improvements in short-term surgical and long-term oncological outcomes; and (3)  characterising the relationship between hospital and surgeon case volume and surgical and oncological outcomes. As a result of the analysis, e a novel renal cancer prognostic model that can be used at the point of care to assist in management decision will be developed and validated.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2017-01-11
"DRR197","ODR1516_311","Imperial College London","Academic Institution","The Data Recipient will examine the effectiveness, cost and cost effectiveness of the distribution of a letter to promote update of bowel screening. The evaluation will study the efficacy and effectiveness of four interventions were tested: I) a supplementary ?Gist? leaflet summarising key information in simple language ii) a supplementary ?Narrative? leaflet describing people?s stories , iii) General Practitioner (GP) endorsement on the invitation letter and iv) an Enhanced Reminder letter that reiterated the screening offer.","National Bowel Cancer Screening Programme","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2017-01-16
"DRR198","ODR1516_369/A6","University of Leeds","Academic Institution","The Data Recipient will access cancer registration data to perform analyses to support the (1) development of a the national colorectal cancer dataset to enhance the extent, timeliness and value of its contents, (2) pioneer the development and application of appropriate statistical methodologies to analyse these complex data (3) monitor clinical performance/outcomes of NHS colorectal cancer services to eliminate inequalities and help improve survival.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2017-01-24
"DRR199","ODR1617_022","University of Bristol","Academic Institution","The Data Recipient will access cancer registration data to support the Effectiveness of Prostate Cancer Screening Study which is a pragmatic, cluster RCT that compares an invitation to attend for population-based PSA-testing for prostate cancer (intervention arm) with standard NHS care (control arm) amongst men aged 50 to 69 years registered with GP practices in eight centres in England and Wales. Recruitment to the DH/CRUK-funded CAP trial was completed in 2009 and it is currently in the follow-up phase.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2017-01-26
"DRR200","ODR1617_013","Royal Liverpool and Broadgreen University Hospitals NHS Trust","CQC Registered Health or/and Social Care provider","The Data Recipient will conduct a local clinical audit approximately 450 new breast cancers diagnosed at the  Royal Liverpool and Broadgreen University Hospitals NHS Trust  in order to assess the efficacy of the treatment that we provide, and compare this with other centres.","National Cancer Registration and Analysis Service","Personally identifiable","Direct Care",2017-02-01
